"","N","Exp","nn1_1","ht_1","adjusted_ht_1","loop_rf_1","ps1_1","ps_rf1_1","ps_logit1_1","lr_1","rf_1"
"1",100,1,0.00591606771543086,0.00696840661737374,0.00456648823001986,0.00509173242575413,0.00592515789579158,0.0289007570941884,0.00591674106212425,0.00452219570826878,0.00720608853405632
"2",100,2,0.00998701948732394,0.00876782653879237,0.00711059526116363,0.0098640594265916,0.0103274460466801,0.0927905430285714,0.010012680654326,0.0113566556432423,0.00638238029218121
"3",100,3,0.108259072580645,0.00752041019514138,0.00930254007344945,0.0298960082162867,0.00933891129032258,0.1308,0.108258266129032,0.107890572057306,0.0608397511519954
"4",200,1,0.00275659152610442,0.00314283715373945,0.00202160130131036,0.00230624823503195,0.00277498911646586,0.0259959529718875,0.00276449112449799,0.00199694059028146,0.0028112000741893
"5",200,2,0.00528622410501002,0.00394896931920932,0.00322483257326654,0.00435132691563912,0.00464562771222445,0.100124493443687,0.00526061047775551,0.00727792467820992,0.00469990260546078
"6",200,3,0.100636847389558,0.00435302940155684,0.0037047017016298,0.0154382539570218,0.00383960843373494,0.128803463855422,0.100527359437751,0.104188132845898,0.0780988160432335
"7",400,1,0.00139147857429719,0.00181447507398545,0.00105847805580806,0.00118431219773241,0.00139977927710843,0.0222721352008032,0.00140512967871486,0.00106273774162022,0.00130414073042398
"8",400,2,0.0027877904,0.002204931860372,0.00177587725985904,0.00229918562699586,0.0026269555,0.0949251172,0.0027754368,0.00578740175753677,0.00449063322154024
"9",400,3,0.0925890531062124,0.00211084205447933,0.00188001007176788,0.00811626377955698,0.0019559869739479,0.124354621743487,0.0926781312625251,0.102440092986323,0.0885388171853681
"10",800,1,0.000616211129518072,0.000778846822902251,0.000498096926820432,0.000545457666777463,0.000614973930722892,0.0197725965461847,0.00063826358935743,0.000496989921747448,0.000579870837785222
"11",800,2,0.00122056655481928,0.00102674939563889,0.00086783793953046,0.00102498439698505,0.00128649328674699,0.101092558171285,0.00121912205180723,0.00494845539999928,0.00421756370551966
"12",800,3,0.0752618932344064,0.000976235499416251,0.00093589797185419,0.00355366178918336,0.000982601861167002,0.0689427942655936,0.0750854910714286,0.102684311050385,0.0957068284680348
"13",1600,1,0.000319520742971888,0.000401246135037476,0.000251894345580619,0.000269230343423703,0.000310448171435743,0.0176593823456325,0.000310975562248996,0.000252255089640259,0.000289485792782445
"14",1600,2,0.000613811717735471,0.000558010491760368,0.000447699038066785,0.000538370470826394,0.000631011905611222,0.0995310822713427,0.000627080724498998,0.00427877456586051,0.00361863702219762
"15",1600,3,0.0531554624874749,0.000446488076461565,0.000400852466407969,0.00192616372334707,0.000430210420841683,0.0181629892597695,0.0532509158942886,0.102378863097004,0.0984990853247924
"16",3200,1,0.000179404600137776,0.000223458584037425,0.000139782842229621,0.000156349525641184,0.00018097908504509,0.0167934075983216,0.000180538727768036,0.000139533794648324,0.000156844354303294
"17",3200,2,0.000317759731916499,0.000288206369763354,0.000228704813286082,0.00028787962424545,0.000329993135462777,0.0967299939638707,0.000319284203747485,0.0038887239351866,0.00320510448784015
"18",3200,3,0.0313451778557114,0.000232684698099904,0.000211544532910988,0.000719754094854366,0.000230093194200902,0.021006804037763,0.0313541107605837,0.102829618937834,0.100033861915992
"19",6400,1,7.59487969848143e-05,9.98312121908546e-05,5.95058970577346e-05,6.50969301107601e-05,7.45790739520582e-05,0.0155599498461032,7.68245166603916e-05,5.93578530773802e-05,6.78096302587982e-05
"20",6400,2,0.000148591504296875,0.000138316781729219,0.000107857396660413,0.000130950040278343,0.000145996959375,0.106992699524609,0.000142592577734375,0.00389430715472368,0.00312909247772705
"21",6400,3,0.0163592055664062,0.000108986304012346,9.90366662672122e-05,0.000244186940839981,0.000106334130859375,0.0260386271972656,0.0163248147460937,0.102591592012678,0.0997835904743479
"22",12800,1,3.55915168284407e-05,4.57355577599769e-05,2.9246827450883e-05,3.53776011337379e-05,3.7716571081913e-05,0.014541240949633,3.61792905618687e-05,2.92353133369515e-05,3.24615009268597e-05
"23",12800,2,6.82538394326899e-05,7.17674325645142e-05,5.25000029143116e-05,6.29920124323626e-05,6.30993040170712e-05,0.108178887788144,6.38072600540744e-05,0.00382469365212032,0.00294098989743912
"24",12800,3,0.0101778779488454,5.89284222406197e-05,5.12022428434681e-05,9.27865548238672e-05,5.59382785973654e-05,0.0300743455852301,0.010184470887827,0.102607772893097,0.100034704140871
"25",25600,1,1.88027492930708e-05,2.58727144553975e-05,1.50242585217446e-05,1.73286541145821e-05,2.00278176573482e-05,0.0145344187543288,1.89871405446003e-05,1.5019844823581e-05,1.79436117864538e-05
"26",25600,2,3.26778084960937e-05,3.56200774797109e-05,2.80367468367394e-05,3.24881763727318e-05,3.46774833007812e-05,0.102026640143115,3.37080304443359e-05,0.00378404597713156,0.00288638880251364
"27",25600,3,0.00833999869245327,3.12836736056508e-05,2.68498721169402e-05,3.83864757200856e-05,2.88890525191007e-05,0.0263962141660029,0.00835258411720903,0.102637377364438,0.100290616426568
