"","N","Exp","nn1_1","ht_1","adjusted_ht_1","loop_rf_1","ps1_1","ps_rf1_1","ps_logit1_1","lr_1","rf_1"
"1",100,1,0.00591572082039831,0.00696801445512836,0.00456567429839448,0.00509062182188045,0.00592503644563676,0.0288394817691495,0.00591661961196943,0.00452164835343895,0.00381544876462865
"2",100,2,0.00973497160022509,0.00873277499871335,0.00710905530372684,0.00985868619804023,0.0103271046803963,0.0922046127873883,0.00976571784833751,0.00807396421013028,0.00616504570727855
"3",100,3,0.00405767063930801,0.0074880345030254,0.00920567255789654,0.0298493793030801,0.00928940190881894,0.0308624349635796,0.00403083010861081,0.00288812372304365,0.00256947933191039
"4",200,1,0.00275658053902356,0.00314256656212843,0.00202073040700929,0.00230553263282884,0.0027748887114724,0.0259008003903163,0.00276448373816551,0.00199610550234947,0.00204716728154324
"5",200,2,0.00517873582837017,0.00394751937263632,0.00322477993591107,0.00435119240182571,0.00464546146401018,0.0945882805691543,0.00515886100859033,0.00351799323560911,0.00324332860694786
"6",200,3,0.00219463476395541,0.00434592067013654,0.00370332120054067,0.0154380806267361,0.00383960026854406,0.0261655748495992,0.00220481615215881,0.00151475516480402,0.00150788703895849
"7",400,1,0.00139137496270221,0.00181251698197356,0.00105788474495445,0.00118431128685954,0.00139977006419251,0.0222656286037725,0.00140512249802423,0.00106208937286507,0.00109545578944463
"8",400,2,0.0027468304,0.0021955677919032,0.00177223808528606,0.00229376009722888,0.002591015475,0.0905214676,0.0027334464,0.00194199862354939,0.00184063439573417
"9",400,3,0.00126154839739599,0.00210513898724488,0.00187588577449353,0.00811128171525928,0.00195201098589966,0.0264351685836603,0.00126582006698768,0.000801032766688914,0.00080239908654868
"10",800,1,0.00061602741916461,0.000778845670691269,0.000497910950380247,0.000545455957940878,0.000614826909293802,0.0197692413227206,0.000638092562267141,0.000496834054551451,0.000546261101689307
"11",800,2,0.00120336121720819,0.00101988895382502,0.000865081734350101,0.00101930055655835,0.00127757838583249,0.0920835103529076,0.00120197912634474,0.000901185367728468,0.000928044892655864
"12",800,3,0.000724378906740222,0.000975941581750732,0.000935839171235702,0.00355102512869549,0.000981754498317875,0.0473849329882717,0.000712683798970881,0.000386721640015839,0.000404697558528413
"13",1600,1,0.000319519638544136,0.000400046930205413,0.000251821650891778,0.00026897800886674,0.000310438221573543,0.0176592754442091,0.000310949949395977,0.000252186532671347,0.000280058751662575
"14",1600,2,0.000609707155418051,0.000554164340515673,0.000446236794956332,0.000535327222532478,0.000628546816830053,0.091239790057319,0.000621638602229509,0.000448448328898393,0.000466030688947152
"15",1600,3,0.000543146447579523,0.000446390028411557,0.000400644486225124,0.00192541736804395,0.000430074822741676,0.0176512573148552,0.00054547615082369,0.000204557776378247,0.000212605562883036
"16",3200,1,0.000179400873390067,0.000223365321833523,0.00013977283521814,0.000156347648877174,0.000180950171416229,0.0167832207556082,0.000180468047975962,0.000139523866410749,0.000156127540004395
"17",3200,2,0.000317365337807782,0.000288190279658529,0.000228649530782097,0.000287638217858165,0.000329979278336012,0.0889535337014226,0.000318960552645602,0.000237174654180015,0.000232756620213989
"18",3200,3,0.000300538671280437,0.000232678839426298,0.000211482102835608,0.000716054643527575,0.00023000839244245,0.0205032277276873,0.000303512795725467,9.16717712027421e-05,0.000100575579621787
"19",6400,1,7.55717473503767e-05,9.96768820063086e-05,5.93263319065533e-05,6.50090641192422e-05,7.45620313835664e-05,0.0155586965591092,7.67966467715742e-05,5.91773103039092e-05,6.77273519078626e-05
"20",6400,2,0.000147699069824219,0.000138296191171267,0.00010749831796096,0.000130019269985975,0.000145142490234375,0.0909024905479492,0.000141103415136719,0.000113527137470345,0.000120938266382945
"21",6400,3,0.000141819810156249,0.000108617078993056,9.88701372225656e-05,0.000243849340398176,0.000105951665917969,0.025899158478418,0.000142907680078123,4.7616953243998e-05,4.94395956320559e-05
"22",12800,1,3.552092664532e-05,4.532850488373e-05,2.90540764945908e-05,3.49941582576863e-05,3.74246368953105e-05,0.0145158744011692,3.59326880308769e-05,2.90442281794087e-05,3.20022870334035e-05
"23",12800,2,6.81986764751139e-05,7.17674069756539e-05,5.2490799622028e-05,6.293270936912e-05,6.30875443710901e-05,0.0897395709332865,6.38029191797541e-05,5.89729008221777e-05,5.95648130219577e-05
"24",12800,3,6.28293669623532e-05,5.88071301247e-05,5.10292183676655e-05,9.27025738590294e-05,5.58168282756777e-05,0.0300741394929799,6.31291537580621e-05,2.32623429548134e-05,2.63070638178986e-05
"25",25600,1,1.85102194113604e-05,2.54497950651402e-05,1.47219246277766e-05,1.7019520986269e-05,1.9760107520711e-05,0.014486685317874,1.87336836462473e-05,1.47172744604272e-05,1.67244011306601e-05
"26",25600,2,3.26224365234375e-05,3.55249002547914e-05,2.79653279439597e-05,3.24430171525615e-05,3.46736547851562e-05,0.0879962746587158,3.3604275994873e-05,2.95294987924361e-05,3.17967954155196e-05
"27",25600,3,2.70598268076704e-05,3.11437236244839e-05,2.66825547670283e-05,3.82154066800224e-05,2.87637441452372e-05,0.0262098736285549,2.74216241121991e-05,1.11322110317308e-05,1.23999226064181e-05
